target,BJD,RV_mlc_nzp,e_RV_mlc_nzp
HD69830,2453674.87953935,30294.6950950116,0.194260290482288
HD69830,2453675.8450386,30295.5653927055,0.161625001716544
HD69830,2453675.84853427,30295.085713426,0.161207971106649
HD69830,2453675.85199521,30294.1547306728,0.15902670592576
HD69830,2453692.8454698,30292.1871760306,0.26435431060137
HD69830,2453692.84814363,30292.8660361847,0.269842416343911
HD69830,2453692.85079431,30292.0352902409,0.237936930919143
HD69830,2453692.85349129,30292.0832112462,0.232678870201623
HD69830,2453693.82286496,30292.2030073824,0.187703675519829
HD69830,2453693.82668472,30293.7383711595,0.192180595064715
HD69830,2453693.8304929,30293.3343316857,0.186601657647417
HD69830,2453694.83633906,30296.6608579132,0.197532160910774
HD69830,2453694.84026299,30296.8911033794,0.195491234960568
HD69830,2453694.8440596,30296.4759078455,0.19416059804747
HD69830,2453695.8260029,30300.2136136837,0.217634294586809
HD69830,2453695.82939438,30300.0864270788,0.216050772039097
HD69830,2453695.83297106,30300.651162411,0.200974368368357
HD69830,2453696.81081635,30299.7891519247,0.176637221769738
HD69830,2453696.81430043,30299.8655633745,0.181948836978777
HD69830,2453696.81778451,30299.8433128596,0.183452531434533
HD69830,2453697.84008891,30300.9539670552,0.383273499063392
HD69830,2453697.84338778,30300.3064613145,0.297248727330273
HD69830,2453697.84682556,30300.7238063069,0.304060331973161
HD69830,2453698.80087167,30297.2357536296,0.282505478771716
HD69830,2453698.80420527,30296.890819212,0.304045285097291
HD69830,2453698.80777036,30297.0426612501,0.319185087025508
HD69830,2453699.82980746,30294.1335517415,0.200406869163263
HD69830,2453699.83325681,30293.4812848521,0.201727613943675
HD69830,2453699.8367293,30293.3851558099,0.19642798203706
HD69830,2453700.86184474,30294.4845806011,0.18813607093485
HD69830,2453700.86507417,30294.4257692018,0.170832255521631
HD69830,2453700.86856981,30294.9720679317,0.181375690258187
HD69830,2453724.8528512,30292.9431994195,0.175987555632832
HD69830,2453724.85613843,30293.4508604107,0.182963043325981
HD69830,2453724.85937935,30294.1965196757,0.18710145742719
HD69830,2453725.80145843,30291.2454748692,0.17004805430589
HD69830,2453725.80474566,30291.8518677232,0.166181859269406
HD69830,2453725.80796343,30291.6705472307,0.175443795842704
HD69830,2453726.84513935,30292.1044721207,0.185453107175224
HD69830,2453726.84844972,30291.7020829094,0.186581557448936
HD69830,2453726.85166749,30291.4249903885,0.185342710182123
HD69830,2453727.7610922,30292.8917542274,0.215401733332219
HD69830,2453727.76432154,30292.8496967977,0.213463455063029
HD69830,2453727.76756246,30292.3767825931,0.211132112606392
HD69830,2453728.74057753,30293.296681526,0.190927033131677
HD69830,2453728.74394577,30293.6948569162,0.193800474127314
HD69830,2453728.74710566,30293.7964634683,0.186110231666263
HD69830,2453729.85986063,30297.671592905,0.212565177895361
HD69830,2453729.86303209,30297.4367106507,0.231166796384501
HD69830,2453729.86646977,30298.6750462904,0.230835726519593
HD69830,2453757.63714688,30297.0654338257,0.229605353446025
HD69830,2453757.64102424,30297.745940259,0.233951964642774
HD69830,2453757.64497105,30296.9257490847,0.221652879592576
HD69830,2453758.68863003,30298.0698015516,0.223167699405819
HD69830,2453758.69262313,30298.1710115453,0.209497253754272
HD69830,2453758.69639633,30298.1977546875,0.200418712027319
HD69830,2453759.64470546,30294.4716997633,0.186511726065465
HD69830,2453759.64847864,30295.2314803771,0.190019989276528
HD69830,2453759.65252961,30295.6290283084,0.212129130069128
HD69830,2453760.65334943,30293.3520035957,0.219004824435016
HD69830,2453760.6572615,30294.2640844329,0.220356733418167
HD69830,2453760.66112727,30293.8945747657,0.211423823563642
HD69830,2453761.70894823,30294.3723444428,0.228542207020318
HD69830,2453761.71275612,30293.6148021425,0.226780765892513
HD69830,2453761.71665662,30293.8959049655,0.223658682012335
HD69830,2453762.6621142,30294.4559967723,0.212925517743286
HD69830,2453762.66579478,30294.5490809757,0.204601822943629
HD69830,2453762.66970684,30294.6301069744,0.231660619784163
HD69830,2453763.69893658,30299.0064128803,0.182561463230415
HD69830,2453763.70280233,30299.2625674366,0.185617001350355
HD69830,2453763.70663337,30298.6304449787,0.192803630661103
HD69830,2453764.7286161,30301.1438762948,0.187195816210628
HD69830,2453764.73244713,30300.653995224,0.181650519169282
HD69830,2453764.73637075,30299.6617230395,0.196273842822868
HD69830,2453765.65736798,30302.4401933394,0.173484642131227
HD69830,2453765.66121057,30301.7451643001,0.16409232888528
HD69830,2453765.66508789,30301.1823975664,0.163689915290285
HD69830,2453782.63803158,30298.9331543202,0.162372089060079
HD69830,2453782.64290415,30298.2884916675,0.181647000284981
HD69830,2453783.65495111,30299.3081704241,0.18633474221526
HD69830,2453783.66011302,30298.1762567386,0.19992831576828
HD69830,2453784.6749015,30297.1036398527,0.207306736878596
HD69830,2453784.6797972,30297.2847574714,0.196462793147812
HD69830,2453785.66898309,30296.0645051403,0.214685538493057
HD69830,2453785.67419128,30296.244473093,0.220922503502949
HD69830,2453786.75078061,30292.5194370357,0.175483059412777
HD69830,2453786.75579203,30292.1246693647,0.178024844500425
HD69830,2453787.65554494,30293.3940508918,0.170836715880536
HD69830,2453787.66056793,30293.1147071152,0.17244564566243
HD69830,2453788.63861579,30293.8022898205,0.205810864896002
HD69830,2453788.64338416,30294.2417917589,0.177107347474784
HD69830,2453789.61380364,30298.8624030125,0.180259009301562
HD69830,2453789.61878032,30298.4955592175,0.213825449571939
HD69830,2453790.74849849,30302.0171429439,0.196531519785323
